??,?,?,?,?,?,?
5/17/2018 9:55,7.14 ,7.16 ,7.13 ,7.15 ,37797,27025100
5/17/2018 10:00,7.15 ,7.16 ,7.12 ,7.13 ,42665,30463328
5/17/2018 10:05,7.13 ,7.14 ,7.12 ,7.12 ,16693,11894739
5/17/2018 10:10,7.13 ,7.13 ,7.10 ,7.10 ,17768,12639989
5/17/2018 10:15,7.10 ,7.13 ,7.10 ,7.12 ,18261,12994125
5/17/2018 10:20,7.11 ,7.12 ,7.10 ,7.11 ,25504,18143276
5/17/2018 10:25,7.11 ,7.12 ,7.09 ,7.10 ,23336,16575209
5/17/2018 10:30,7.09 ,7.11 ,7.09 ,7.10 ,16282,11567334
5/17/2018 10:35,7.10 ,7.11 ,7.08 ,7.08 ,41159,29203376
5/17/2018 10:40,7.08 ,7.11 ,7.08 ,7.09 ,18599,13196180
5/17/2018 10:45,7.09 ,7.11 ,7.09 ,7.10 ,11281,8004598
5/17/2018 10:50,7.09 ,7.14 ,7.09 ,7.13 ,27833,19817172
5/17/2018 10:55,7.13 ,7.15 ,7.12 ,7.14 ,37419,26717928
5/17/2018 11:00,7.14 ,7.14 ,7.13 ,7.13 ,12209,8710280
5/17/2018 11:05,7.13 ,7.14 ,7.11 ,7.11 ,15759,11219928
5/17/2018 11:10,7.11 ,7.13 ,7.10 ,7.11 ,9193,6540319
5/17/2018 11:15,7.11 ,7.12 ,7.10 ,7.12 ,9902,7041606
5/17/2018 11:20,7.11 ,7.12 ,7.10 ,7.11 ,6592,4685696
5/17/2018 11:25,7.10 ,7.12 ,7.10 ,7.12 ,11686,8313119
5/17/2018 11:30,7.11 ,7.13 ,7.10 ,7.13 ,9424,6707534
5/17/2018 13:05,7.13 ,7.14 ,7.13 ,7.13 ,13852,9881582
5/17/2018 13:10,7.13 ,7.14 ,7.11 ,7.12 ,6878,4898604
5/17/2018 13:15,7.11 ,7.13 ,7.11 ,7.13 ,13356,9506705
5/17/2018 13:20,7.13 ,7.14 ,7.11 ,7.11 ,11880,8462405
5/17/2018 13:25,7.12 ,7.13 ,7.10 ,7.10 ,7745,5508105
5/17/2018 13:30,7.10 ,7.11 ,7.10 ,7.10 ,11820,8394942
5/17/2018 13:35,7.10 ,7.11 ,7.10 ,7.10 ,6748,4793376
5/17/2018 13:40,7.10 ,7.11 ,7.10 ,7.10 ,7773,5522704
5/17/2018 13:45,7.10 ,7.11 ,7.10 ,7.10 ,21130,15005728
5/17/2018 13:50,7.10 ,7.11 ,7.09 ,7.10 ,24987,17739408
5/17/2018 13:55,7.09 ,7.11 ,7.09 ,7.11 ,15348,10898304
5/17/2018 14:00,7.10 ,7.11 ,7.09 ,7.11 ,11921,8468288
5/17/2018 14:05,7.10 ,7.11 ,7.09 ,7.11 ,11823,8399264
5/17/2018 14:10,7.10 ,7.13 ,7.10 ,7.11 ,11023,7840992
5/17/2018 14:15,7.11 ,7.13 ,7.10 ,7.12 ,10080,7176128
5/17/2018 14:20,7.11 ,7.12 ,7.11 ,7.11 ,10428,7420912
5/17/2018 14:25,7.11 ,7.12 ,7.10 ,7.10 ,13709,9746080
5/17/2018 14:30,7.10 ,7.12 ,7.10 ,7.11 ,12923,9185936
5/17/2018 14:35,7.10 ,7.12 ,7.10 ,7.11 ,12532,8914624
5/17/2018 14:40,7.11 ,7.13 ,7.11 ,7.12 ,15096,10743744
5/17/2018 14:45,7.11 ,7.12 ,7.11 ,7.11 ,11977,8524064
5/17/2018 14:50,7.12 ,7.13 ,7.11 ,7.12 ,14918,10617824
5/17/2018 14:55,7.11 ,7.13 ,7.11 ,7.12 ,9834,6998096
5/17/2018 15:00,7.12 ,7.12 ,7.11 ,7.11 ,21850,15539760
5/18/2018 9:35,7.11 ,7.12 ,7.08 ,7.12 ,45954,32625598
5/18/2018 9:40,7.12 ,7.17 ,7.12 ,7.17 ,110107,78752752
5/18/2018 9:45,7.17 ,7.22 ,7.16 ,7.21 ,144772,104121984
5/18/2018 9:50,7.21 ,7.26 ,7.20 ,7.23 ,148708,107576112
5/18/2018 9:55,7.23 ,7.25 ,7.21 ,7.22 ,91640,66305016
5/18/2018 10:00,7.22 ,7.23 ,7.21 ,7.22 ,35085,25333204
5/18/2018 10:05,7.23 ,7.25 ,7.22 ,7.23 ,86721,62728696
5/18/2018 10:10,7.23 ,7.27 ,7.23 ,7.26 ,80960,58739508
5/18/2018 10:15,7.27 ,7.27 ,7.24 ,7.25 ,68203,49477528
5/18/2018 10:20,7.26 ,7.28 ,7.25 ,7.27 ,60588,44016544
5/18/2018 10:25,7.26 ,7.28 ,7.25 ,7.28 ,47379,34418720
5/18/2018 10:30,7.27 ,7.28 ,7.25 ,7.25 ,45804,33269888
5/18/2018 10:35,7.25 ,7.26 ,7.24 ,7.26 ,44979,32627056
5/18/2018 10:40,7.26 ,7.27 ,7.25 ,7.26 ,27310,19832064
5/18/2018 10:45,7.25 ,7.27 ,7.25 ,7.25 ,23170,16816880
5/18/2018 10:50,7.26 ,7.27 ,7.25 ,7.25 ,25181,18271712
5/18/2018 10:55,7.26 ,7.27 ,7.24 ,7.27 ,32334,23458800
5/18/2018 11:00,7.27 ,7.30 ,7.26 ,7.29 ,83717,60966032
5/18/2018 11:05,7.29 ,7.29 ,7.27 ,7.27 ,18750,13647008
5/18/2018 11:10,7.26 ,7.29 ,7.26 ,7.28 ,18572,13509552
5/18/2018 11:15,7.28 ,7.29 ,7.27 ,7.27 ,13127,9560528
5/18/2018 11:20,7.28 ,7.28 ,7.27 ,7.28 ,12484,9080912
5/18/2018 11:25,7.27 ,7.29 ,7.27 ,7.28 ,12869,9374192
5/18/2018 11:30,7.29 ,7.30 ,7.28 ,7.29 ,21139,15414688
5/18/2018 13:05,7.29 ,7.29 ,7.28 ,7.28 ,36858,26872992
5/18/2018 13:10,7.29 ,7.32 ,7.28 ,7.31 ,80555,58840032
5/18/2018 13:15,7.31 ,7.31 ,7.29 ,7.31 ,45096,32945296
5/18/2018 13:20,7.31 ,7.32 ,7.28 ,7.29 ,45824,33441920
5/18/2018 13:25,7.29 ,7.29 ,7.26 ,7.27 ,42217,30717920
5/18/2018 13:30,7.27 ,7.29 ,7.26 ,7.28 ,24774,18033024
5/18/2018 13:35,7.28 ,7.29 ,7.26 ,7.27 ,29486,21445040
5/18/2018 13:40,7.26 ,7.27 ,7.24 ,7.24 ,30034,21804384
5/18/2018 13:45,7.24 ,7.26 ,7.24 ,7.26 ,16729,12134480
5/18/2018 13:50,7.26 ,7.28 ,7.25 ,7.28 ,33485,24340960
5/18/2018 13:55,7.28 ,7.28 ,7.26 ,7.27 ,18166,13212528
5/18/2018 14:00,7.28 ,7.28 ,7.27 ,7.28 ,14281,10390880
5/18/2018 14:05,7.28 ,7.29 ,7.26 ,7.28 ,35872,26103456
5/18/2018 14:10,7.28 ,7.30 ,7.28 ,7.30 ,23822,17372896
5/18/2018 14:15,7.29 ,7.32 ,7.29 ,7.32 ,35459,25904336
5/18/2018 14:20,7.31 ,7.33 ,7.31 ,7.31 ,51003,37348224
5/18/2018 14:25,7.32 ,7.33 ,7.31 ,7.32 ,40500,29648992
5/18/2018 14:30,7.32 ,7.38 ,7.32 ,7.37 ,105328,77427888
5/18/2018 14:35,7.38 ,7.38 ,7.35 ,7.35 ,61189,45099248
5/18/2018 14:40,7.36 ,7.37 ,7.35 ,7.36 ,45567,33536272
5/18/2018 14:45,7.37 ,7.38 ,7.36 ,7.37 ,58857,43386160
5/18/2018 14:50,7.37 ,7.42 ,7.37 ,7.40 ,110256,81576848
5/18/2018 14:55,7.40 ,7.43 ,7.39 ,7.43 ,95478,70766800
5/18/2018 15:00,7.43 ,7.44 ,7.42 ,7.43 ,104178,77431072
5/21/2018 9:35,7.36 ,7.38 ,7.32 ,7.33 ,177320,130363976
5/21/2018 9:40,7.33 ,7.34 ,7.32 ,7.32 ,86126,63118712
5/21/2018 9:45,7.32 ,7.39 ,7.32 ,7.39 ,71260,52437144
5/21/2018 9:50,7.39 ,7.44 ,7.36 ,7.40 ,129421,95974248
5/21/2018 9:55,7.41 ,7.42 ,7.38 ,7.38 ,54152,40093464
5/21/2018 10:00,7.39 ,7.40 ,7.38 ,7.39 ,30661,22655668
5/21/2018 10:05,7.39 ,7.40 ,7.37 ,7.37 ,25940,19160536
5/21/2018 10:10,7.37 ,7.38 ,7.36 ,7.38 ,26369,19429736
5/21/2018 10:15,7.38 ,7.40 ,7.37 ,7.39 ,21490,15868519
5/21/2018 10:20,7.39 ,7.40 ,7.37 ,7.37 ,35847,26481584
5/21/2018 10:25,7.37 ,7.39 ,7.36 ,7.38 ,33524,24724534
5/21/2018 10:30,7.38 ,7.40 ,7.37 ,7.40 ,15499,11453091
5/21/2018 10:35,7.39 ,7.40 ,7.38 ,7.38 ,18325,13539544
5/21/2018 10:40,7.38 ,7.39 ,7.37 ,7.37 ,29325,21642190
5/21/2018 10:45,7.37 ,7.39 ,7.36 ,7.37 ,26317,19402080
5/21/2018 10:50,7.36 ,7.36 ,7.34 ,7.35 ,41533,30546784
5/21/2018 10:55,7.34 ,7.36 ,7.33 ,7.36 ,28656,21032992
